MATRÍCULA,NOME,FUNÇÃO,SETOR,
23903,DIEGO ISABELA GOMES,AUX. DE DEPOSITO,LIMPEZA,
30872,LUCAS SOUZA DE CORREIA,ELETRICISTA,ELETRODOMESTICOS-ELETROPORTATEIS,
17489,TARCISIO ALVES DE SOUZA,AUX. DE DEPOSITO,RECEPCAO DE MERCADORIA - LOJA,
28712,ADRIANA FERNANDES,AUX. ADMINISTRATIVO,TESOURARIA,
31371,DIEGO GOMES DA REIS,VENDEDOR,ENTREGA,
22807,JOANA REIS DE MOREIRA,AUX.ENTREGA EXTERNA,TESOURARIA,
16203,ALINE CARDOSO,MOTORISTA,TECNOLOGIA DA INFORMACAO,
31776,ELIAS GUSTAVO FARIAS DE FARIAS,OPERADOR DE EMPILHADEIRA,TINTAS E ACESSORIOS,
34359,ISABELA CARDOSO DE LEITE,AUXILIAR DE LIMPEZA SANITARIA,LIMPEZA,
22845,MARCELO DANIEL SOARES DOS NUNES,OPERADOR DE LOJA,BALCAO DE FERRAMENTAS,
15233,SAMUEL NUNES DE ALVES,CONFERENTE DE MERCADORIA,TINTAS E ACESSORIOS,
37109,THIAGO GISELE SANTOS,CONFERENTE DE MERCADORIA,BALCAO DE FERRAMENTAS,
23448,RODRIGO EDUARDO MOREIRA DOS NUNES NETO,AUXILIAR DE LIMPEZA SANITARIA,MOVEIS E COZINHAS,
25463,LEANDRO CAIO PINHEIRO,APROVADOR DE CREDITO,MOVEIS E COZINHAS,
35557,NATALIA LIMA DOS VIEIRA JUNIOR,AUX. DE PREVENCAO DE PERDAS,CAIXA,
35680,ELIAS RAQUEL LIMA,AUX. DE PREVENCAO DE PERDAS,TECNOLOGIA DA INFORMACAO,
21123,CAIO EDUARDO MOREIRA,AUX. DE ASSISTENCIA TECNICA,RECURSOS HUMANOS,
28638,JORGE LEITE,OPERADOR DE LOJA,UTILIDADES DOMESTICAS - PLASTICOS,
16217,BEATRIZ RIBEIRO DA RAMOS,APRENDIZ EM SERVICOS VENDAS,ACESSORIOS PARA BANHEIRO,
15284,CARLA FARIAS,APROVADOR DE CREDITO,TECNOLOGIA DA INFORMACAO,
25711,MARCELO SOARES DOS FREITAS FILHO,TESOUREIRO,ENTREGA,
27696,MARCOS JULIANA ROCHA,ATENDENTE,TRANSPORTE PESADO,
27993,CAIO PRISCILA MACHADO,CONFERENTE DE MERCADORIA,ELETRODOMESTICOS-ELETROPORTATEIS,
17769,SAMUEL LIMA,APRENDIZ EM SERVICOS VENDAS,PISOS E REVESTIMENTOS,
32494,IVAN REIS DA MENDES,PROMOTOR(A),ACESSORIOS PARA BANHEIRO,
39074,SERGIO SILVA DE SANTOS,ATENDENTE,BALCAO DE FERRAMENTAS,
17862,GUSTAVO CARLA FERNANDES DA BARBOSA,AUX. DE PREVENCAO DE PERDAS,MATERIAL ELETRICO,
18706,MARCELO FREITAS DA COSTA,AUX.ENTREGA EXTERNA,CABOS E FIOS,
23674,PAULO JANAINA TEIXEIRA DA NUNES,AUX. ADMINISTRATIVO,PREVENCAO DE PERDAS,
29045,SIMONE RAQUEL VIEIRA,VENDEDOR,RECEPCAO DE MERCADORIA - LOJA,
25348,TARCISIO GISELE MARTINS DOS CARDOSO NETO,AUX.ENTREGA EXTERNA,PREVENCAO DE PERDAS,
15585,IGOR SOUZA DA MACHADO JUNIOR,MOTORISTA,CAIXA,
32131,RAQUEL RIBEIRO,OPERADOR DE LOJA,METAIS SANITARIOS,
33731,MATEUS CORREIA DA PINHEIRO,MOTORISTA,CABOS E FIOS,
35278,JOAO ELIAS PINHEIRO DE NASCIMENTO,APROVADOR DE CREDITO,LIMPEZA,
35367,HELENA FERNANDES DOS PEREIRA,AUX.ENTREGA EXTERNA,ENTREGA,
18907,MATEUS LOPES DE SILVA,FRENTE DE LOJA,MANUTENCAO INFRAESTRUTURA,
27637,TATIANA FARIAS DE NASCIMENTO,FRENTE DE LOJA,FRENTE DE LOJA,
34011,MARCOS LUCAS MENDES,CONFERENTE DE MERCADORIA,ENTREGA,
33969,LUCIANA GOMES,AUX. DE ASSISTENCIA TECNICA,ENTREGA,
28368,ELIAS MARCELO NUNES DA DUARTE,OPERADOR DE EMPILHADEIRA,BALCAO DE FERRAMENTAS,
18230,WAGNER NASCIMENTO DE TEIXEIRA,AUX. DE ASSISTENCIA TECNICA,MANUTENCAO INFRAESTRUTURA,
32641,SERGIO JORGE MARTINS DE ROCHA,OPERADOR DE LOJA,DEPOSITOS INTERNOS,
15871,HELENA PINHEIRO,APROVADOR DE CREDITO,PISOS E REVESTIMENTOS,
16721,JULIANA BARBOSA DE SANTOS,MOTORISTA,TESOURARIA,
25686,DIEGO NASCIMENTO,OPERADOR DE LOJA,EXPEDICAO,
26450,ALINE MARCELO MELO,OPERADOR DE COMPUTADOR,MOVEIS E COZINHAS,
29334,LARISSA EDUARDO PINHEIRO DE SANTOS,AUX. DE DEPOSITO,TINTAS E ACESSORIOS,
36748,ELIAS FELIPE SILVA,AUXILIAR DE LIMPEZA SANITARIA,DEPOSITOS INTERNOS,
19248,PATRICIA AMANDA TEIXEIRA DOS NASCIMENTO,CONFERENTE DE MERCADORIA,ENTREGA,
19613,DANIEL SILVA,ELETRICISTA,VENDAS,
17960,TARCISIO MARCELO VIEIRA DA NASCIMENTO,APRENDIZ EM SERVICOS VENDAS,PREVENCAO DE PERDAS,
20035,IGOR BARBOSA DOS RIBEIRO,AUX. DE ASSISTENCIA TECNICA,CABOS E FIOS,
35157,JOANA FREITAS,SUPERVISOR DE VENDAS,RECURSOS HUMANOS,
